,android_avg_rating,android_file_size,android_rating_1,android_rating_2,android_rating_3,android_rating_4,android_rating_5,android_total_ratings,ios_all_ratings,ios_current_ratings,ios_file_size
2016-07-21 14:20:00,3.9,58,204585,73093,121282,171872,748562,1319394,107972,6203,110
2016-07-21 14:30:00,3.9,58,204585,73093,121282,171872,748562,1319394,107972,6203,110
2016-07-21 14:40:00,3.9,58,204585,73093,121282,171872,748562,1319394,107972,6203,110
2016-07-21 14:50:00,3.9,58,204585,73093,121282,171872,748562,1319394,107972,6203,110
2016-07-21 15:00:00,3.9,58,204585,73093,121282,171872,748562,1319394,107972,6203,110
2016-07-21 15:10:00,3.9,58,204585,73093,121282,171872,748562,1319394,108570,6203,110
2016-07-21 15:20:00,3.9,58,204585,73093,121282,171872,748562,1319394,108570,6842,110
2016-07-21 15:30:00,3.9,58,204585,73093,121282,171872,748562,1319394,108570,6842,110
2016-07-21 15:40:00,3.9,58,204585,73093,121282,171872,748562,1319394,108570,6842,110
2016-07-21 15:50:00,3.9,58,204585,73093,121282,171872,748562,1319394,108570,6842,110
2016-07-21 16:00:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 16:10:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 16:20:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 16:30:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 16:40:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 16:50:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 17:00:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 17:10:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 17:20:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 17:30:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 17:40:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 17:50:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 18:00:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 18:10:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 18:20:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 18:30:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 18:40:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 18:50:00,3.9,58,206305,73640,122554,174065,757714,1334278,108570,6842,110
2016-07-21 19:00:00,3.9,58,206305,73640,122554,174065,757714,1334278,108886,6842,110
2016-07-21 19:10:00,3.9,58,206305,73640,122554,174065,757714,1334278,108886,6842,110
2016-07-21 19:20:00,3.9,58,206305,73640,122554,174065,757714,1334278,108886,7231,110
2016-07-21 19:30:00,3.9,58,206305,73640,122554,174065,757714,1334278,108886,7231,110
2016-07-21 19:40:00,3.9,58,206305,73640,122554,174065,757714,1334278,108886,7231,110
2016-07-21 19:50:00,3.9,58,206305,73640,122554,174065,757714,1334278,108886,7231,110
2016-07-21 20:00:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 20:10:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 20:20:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 20:30:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 20:40:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 20:50:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 21:00:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 21:10:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 21:20:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 21:30:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 21:40:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 21:50:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 22:00:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 22:10:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 22:20:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 22:30:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 22:40:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 22:50:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 23:00:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 23:10:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7231,110
2016-07-21 23:20:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7759,110
2016-07-21 23:30:00,3.9,58,207257,73972,123459,175799,764122,1344609,108886,7759,110
2016-07-21 23:40:00,3.9,58,207257,73972,123459,175799,764122,1344609,109369,7759,110
2016-07-21 23:50:00,3.9,58,207257,73972,123459,175799,764122,1344609,109369,7759,110
2016-07-22 00:00:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 00:10:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 00:20:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 00:30:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 00:40:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 00:50:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 01:00:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 01:10:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 01:20:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 01:30:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 01:40:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 01:50:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 02:00:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 02:10:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 02:20:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 02:30:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 02:40:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 02:50:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 03:00:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 03:10:00,3.9,58,208991,74479,124537,177363,771895,1357265,109369,7759,110
2016-07-22 03:20:00,3.9,58,208991,74479,124537,177363,771895,1357265,109777,8196,110
2016-07-22 03:30:00,3.9,58,208991,74479,124537,177363,771895,1357265,109777,8196,110
2016-07-22 03:40:00,3.9,58,208991,74479,124537,177363,771895,1357265,109777,8196,110
2016-07-22 03:50:00,3.9,58,208991,74479,124537,177363,771895,1357265,109777,8196,110
2016-07-22 04:00:00,3.9,58,208991,74479,124537,177363,771895,1357265,109777,8196,110
2016-07-22 04:10:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 04:20:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 04:30:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 04:40:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 04:50:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 05:00:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 05:10:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 05:20:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 05:30:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 05:40:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 05:50:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 06:00:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 06:10:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 06:20:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 06:30:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 06:40:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 06:50:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 07:00:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 07:10:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8196,110
2016-07-22 07:20:00,3.9,58,211006,75228,125886,179345,779256,1370721,109991,8196,110
2016-07-22 07:30:00,3.9,58,211006,75228,125886,179345,779256,1370721,109777,8435,110
2016-07-22 07:40:00,3.9,58,211006,75228,125886,179345,779256,1370721,109991,8435,110
2016-07-22 07:50:00,3.9,58,211006,75228,125886,179345,779256,1370721,109991,8435,110
2016-07-22 08:00:00,3.9,58,211006,75228,125886,179345,779256,1370721,109991,8435,110
2016-07-22 08:10:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 08:20:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 08:30:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 08:40:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 08:50:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 09:00:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 09:10:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 09:20:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 09:30:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 09:40:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 09:50:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 10:00:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 10:10:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 10:20:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 10:30:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 10:40:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 10:50:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 11:00:00,3.9,58,214408,76578,127976,181820,788267,1389049,109991,8435,110
2016-07-22 11:10:00,3.9,58,214408,76578,127976,181820,788267,1389049,110258,8713,110
2016-07-22 11:20:00,3.9,58,214408,76578,127976,181820,788267,1389049,110258,8713,110
2016-07-22 11:30:00,3.9,58,214408,76578,127976,181820,788267,1389049,110258,8713,110
2016-07-22 11:40:00,3.9,58,214408,76578,127976,181820,788267,1389049,110258,8713,110
2016-07-22 11:50:00,3.9,58,214408,76578,127976,181820,788267,1389049,110258,8713,110
2016-07-22 12:00:00,3.9,58,214408,76578,127976,181820,788267,1389049,110258,8713,110
2016-07-22 12:10:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 12:20:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 12:30:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 12:40:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 12:50:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 13:00:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 13:10:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 13:20:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 13:30:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 13:40:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 13:50:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 14:00:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 14:10:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 14:20:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 14:30:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 14:40:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 14:50:00,3.9,58,216245,77211,129301,183761,796129,1402647,110258,8713,110
2016-07-22 15:00:00,3.9,58,216245,77211,129301,183761,796129,1402647,110625,8713,110
2016-07-22 15:10:00,3.9,58,216245,77211,129301,183761,796129,1402647,110625,9116,110
2016-07-22 15:20:00,3.9,58,216245,77211,129301,183761,796129,1402647,110625,9116,110
2016-07-22 15:30:00,3.9,58,216245,77211,129301,183761,796129,1402647,110625,9116,110
2016-07-22 15:40:00,3.9,58,216245,77211,129301,183761,796129,1402647,110625,9116,110
2016-07-22 15:50:00,3.9,58,216245,77211,129301,183761,796129,1402647,110625,9116,110
2016-07-22 16:00:00,3.9,58,216245,77211,129301,183761,796129,1402647,110625,9116,110
2016-07-22 16:10:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 16:20:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 16:30:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 16:40:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 16:50:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 17:00:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 17:10:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 17:20:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 17:30:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 17:40:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 17:50:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 18:00:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 18:10:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 18:20:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 18:30:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 18:40:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 18:50:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 19:00:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 19:10:00,3.9,58,218000,77670,130405,185404,803463,1414942,110625,9116,110
2016-07-22 19:20:00,3.9,58,218000,77670,130405,185404,803463,1414942,111140,9686,110
2016-07-22 19:30:00,3.9,58,218000,77670,130405,185404,803463,1414942,111140,9686,110
2016-07-22 19:40:00,3.9,58,218000,77670,130405,185404,803463,1414942,111140,9686,110
2016-07-22 19:50:00,3.9,58,218000,77670,130405,185404,803463,1414942,111140,9686,110
2016-07-22 20:00:00,3.9,58,218000,77670,130405,185404,803463,1414942,111140,9686,110
2016-07-22 20:10:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 20:20:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 20:30:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 20:40:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 20:50:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 21:00:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 21:10:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 21:20:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 21:30:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 21:40:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 21:50:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 22:00:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 22:10:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 22:20:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 22:30:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 22:40:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 22:50:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 23:00:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,9686,110
2016-07-22 23:10:00,3.9,58,219251,78175,131403,186871,809289,1424989,111547,9686,110
2016-07-22 23:20:00,3.9,58,219251,78175,131403,186871,809289,1424989,111140,10132,110
2016-07-22 23:30:00,3.9,58,219251,78175,131403,186871,809289,1424989,111547,10132,110
2016-07-22 23:40:00,3.9,58,219251,78175,131403,186871,809289,1424989,111547,10132,110
2016-07-22 23:50:00,3.9,58,219251,78175,131403,186871,809289,1424989,111547,10132,110
2016-07-23 00:00:00,3.9,58,219251,78175,131403,186871,809289,1424989,111547,10132,110
2016-07-23 00:10:00,3.9,58,219251,78175,131403,186871,809289,1424989,111547,10132,110
2016-07-23 00:20:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 00:30:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 00:40:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 00:50:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 01:00:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 01:10:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 01:20:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 01:30:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 01:40:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
2016-07-23 01:50:00,3.9,58,219984,78504,132116,187860,813198,1431662,111547,10132,110
